x	y	z
207	254	48
208	254	50
209	254	49
210	254	45
211	254	47
212	254	40
213	254	49
214	254	47
215	254	48
216	254	49
217	254	49
218	254	45
219	254	47
220	254	45
221	254	44
222	254	46
223	254	49
224	254	45
225	254	46
226	254	42
227	254	34
228	254	48
229	254	48
230	254	38
231	254	47
232	254	45
233	254	48
234	254	42
235	254	46
236	254	47
237	254	45
238	254	37
239	254	44
240	254	45
241	254	48
242	254	43
243	254	46
244	254	43
245	254	47
246	254	43
247	254	44
248	254	45
249	254	46
250	254	42
251	254	43
252	254	35
253	254	19
254	254	19
255	254	1010
0	253	0.992268041237113
1	253	0.0190721649484536
2	253	1009
3	253	4
4	253	11
5	253	11
6	253	13
7	253	11
8	253	11
9	253	12
10	253	10
11	253	13
12	253	11
13	253	14
14	253	12
15	253	12
16	253	4
17	253	9
18	253	11
19	253	11
20	253	13
21	253	14
22	253	13
23	253	12
24	253	13
25	253	11
26	253	14
27	253	14
28	253	13
29	253	12
30	253	7
31	253	11
32	253	11
33	253	8
34	253	5
35	253	2
36	253	9
37	253	10
38	253	11
39	253	9
40	253	1
41	253	10
42	253	11
43	253	12
44	253	2
45	253	9
46	253	12
47	253	9
48	253	6
49	253	13
50	253	2
51	253	2
52	253	11
53	253	13
54	253	14
55	253	13
56	253	14
57	253	13
58	253	14
59	253	13
60	253	13
61	253	8
62	253	11
63	253	13
64	253	13
65	253	12
66	253	10
67	253	13
68	253	3
69	253	10
70	253	2
71	253	1
72	253	13
73	253	12
74	253	13
75	253	13
76	253	13
77	253	11
78	253	12
79	253	11
80	253	13
81	253	11
82	253	11
83	253	11
84	253	11
85	253	5
86	253	13
87	253	14
88	253	7
89	253	10
90	253	12
91	253	14
92	253	14
93	253	8
94	253	9
95	253	14
96	253	13
97	253	14
98	253	1
99	253	5
100	253	7
101	253	12
102	253	2
103	253	6
104	253	4
105	253	14
106	253	13
107	253	13
108	253	14
109	253	14
110	253	11
111	253	14
112	253	14
113	253	13
114	253	13
115	253	13
116	253	15
117	253	14
118	253	14
119	253	12
120	253	13
121	253	14
122	253	9
123	253	12
124	253	14
125	253	13
126	253	11
127	253	4
128	253	4
129	253	13
130	253	11
131	253	12
132	253	12
133	253	10
134	253	12
135	253	11
136	253	13
137	253	13
138	253	13
139	253	12
140	253	9
141	253	11
142	253	11
143	253	12
144	253	11
145	253	13
146	253	11
147	253	13
148	253	13
149	253	14
150	253	12
151	253	12
152	253	12
153	253	1
154	253	10
155	253	12
156	253	11
157	253	12
158	253	10
159	253	3
160	253	11
161	253	10
162	253	9
163	253	9
164	253	10
165	253	12
166	253	3
167	253	13
168	253	12
169	253	12
170	253	2
171	253	12
172	253	12
173	253	13
174	253	9
175	253	12
176	253	10
177	253	13
178	253	11
179	253	12
180	253	10
181	253	13
182	253	10
183	253	5
184	253	7
185	253	12
186	253	10
187	253	12
188	253	11
189	253	12
190	253	2
191	253	8
192	253	7
193	253	13
194	253	10
195	253	13
196	253	12
197	253	7
198	253	5
199	253	12
200	253	11
201	253	12
202	253	10
203	253	12
204	253	4
205	253	10
206	253	9
207	253	11
208	253	13
209	253	12
210	253	8
211	253	10
212	253	3
213	253	12
214	253	10
215	253	11
216	253	12
217	253	12
218	253	8
219	253	10
220	253	8
221	253	7
222	253	9
223	253	12
224	253	8
225	253	9
226	253	5
227	253	3
228	253	11
229	253	11
230	253	1
231	253	10
232	253	8
233	253	11
234	253	5
235	253	9
236	253	10
237	253	8
238	253	0
239	253	7
240	253	8
241	253	11
242	253	6
243	253	9
244	253	6
245	253	10
246	253	6
247	253	7
248	253	8
249	253	9
250	253	5
251	253	6
252	253	2
253	253	18
254	253	18
255	253	1047
0	252	0.994329896907217
1	252	0.0211340206185567
2	252	0.00206185567010309
3	252	1009
4	252	7
5	252	7
6	252	9
7	252	7
8	252	7
9	252	8
10	252	6
11	252	9
12	252	7
13	252	10
14	252	8
15	252	8
16	252	0
17	252	5
18	252	7
19	252	7
20	252	9
21	252	10
22	252	9
23	252	8
24	252	9
25	252	7
26	252	10
27	252	10
28	252	9
29	252	8
30	252	3
31	252	15
32	252	15
33	252	4
34	252	1
35	252	6
36	252	5
37	252	6
38	252	7
39	252	5
40	252	5
41	252	6
42	252	7
43	252	8
44	252	2
45	252	5
46	252	8
47	252	5
48	252	2
49	252	9
50	252	2
51	252	6
52	252	7
53	252	9
54	252	10
55	252	9
56	252	10
57	252	9
58	252	10
59	252	9
60	252	9
61	252	4
62	252	7
63	252	9
64	252	9
65	252	8
66	252	6
67	252	9
68	252	1
69	252	6
70	252	2
71	252	5
72	252	9
73	252	8
74	252	9
75	252	9
76	252	9
77	252	7
78	252	8
79	252	7
80	252	9
81	252	7
82	252	7
83	252	7
84	252	7
85	252	1
86	252	9
87	252	10
88	252	3
89	252	6
90	252	8
91	252	10
92	252	10
93	252	4
94	252	5
95	252	10
96	252	9
97	252	10
98	252	3
99	252	1
100	252	11
101	252	8
102	252	6
103	252	2
104	252	0
105	252	10
106	252	9
107	252	9
108	252	10
109	252	10
110	252	7
111	252	10
112	252	10
113	252	9
114	252	9
115	252	9
116	252	11
117	252	10
118	252	10
119	252	8
120	252	9
121	252	10
122	252	5
123	252	8
124	252	10
125	252	9
126	252	7
127	252	0
128	252	0
129	252	9
130	252	7
131	252	8
132	252	8
133	252	6
134	252	8
135	252	7
136	252	9
137	252	9
138	252	9
139	252	8
140	252	5
141	252	7
142	252	7
143	252	8
144	252	7
145	252	9
146	252	7
147	252	9
148	252	9
149	252	10
150	252	8
151	252	8
152	252	8
153	252	5
154	252	6
155	252	8
156	252	7
157	252	8
158	252	6
159	252	1
160	252	7
161	252	6
162	252	5
163	252	13
164	252	14
165	252	8
166	252	1
167	252	9
168	252	8
169	252	8
170	252	2
171	252	8
172	252	8
173	252	9
174	252	5
175	252	8
176	252	6
177	252	9
178	252	7
179	252	8
180	252	6
181	252	9
182	252	6
183	252	1
184	252	3
185	252	8
186	252	6
187	252	8
188	252	7
189	252	8
190	252	2
191	252	4
192	252	3
193	252	9
194	252	6
195	252	9
196	252	8
197	252	3
198	252	1
199	252	8
200	252	7
201	252	8
202	252	6
203	252	8
204	252	8
205	252	6
206	252	5
207	252	7
208	252	9
209	252	8
210	252	4
211	252	6
212	252	1
213	252	8
214	252	6
215	252	7
216	252	8
217	252	8
218	252	4
219	252	6
220	252	4
221	252	3
222	252	5
223	252	8
224	252	4
225	252	5
226	252	1
227	252	7
228	252	7
229	252	7
230	252	3
231	252	6
232	252	4
233	252	7
234	252	1
235	252	5
236	252	6
237	252	4
238	252	4
239	252	3
240	252	4
241	252	7
242	252	2
243	252	5
244	252	2
245	252	6
246	252	2
247	252	3
248	252	4
249	252	5
250	252	1
251	252	2
252	252	6
253	252	22
254	252	22
255	252	1051
0	251	0.997938144329897
1	251	0.0247422680412371
2	251	0.0056701030927835
3	251	0.00360824742268041
4	251	1009
5	251	0
6	251	2
7	251	0
8	251	0
9	251	1
10	251	1
11	251	2
12	251	0
13	251	3
14	251	1
15	251	1
16	251	7
17	251	2
18	251	0
19	251	0
20	251	2
21	251	3
22	251	2
23	251	1
24	251	2
25	251	0
26	251	3
27	251	3
28	251	2
29	251	1
30	251	4
31	251	22
32	251	22
33	251	3
34	251	6
35	251	13
36	251	2
37	251	1
38	251	0
39	251	2
40	251	12
41	251	1
42	251	0
43	251	1
44	251	9
45	251	2
46	251	1
47	251	2
48	251	5
49	251	2
50	251	9
51	251	13
52	251	0
53	251	2
54	251	3
55	251	2
56	251	3
57	251	2
58	251	3
59	251	2
60	251	2
61	251	3
62	251	0
63	251	2
64	251	2
65	251	1
66	251	1
67	251	2
68	251	8
69	251	1
70	251	9
71	251	12
72	251	2
73	251	1
74	251	2
75	251	2
76	251	2
77	251	0
78	251	1
79	251	0
80	251	2
81	251	0
82	251	0
83	251	0
84	251	0
85	251	6
86	251	2
87	251	3
88	251	4
89	251	1
90	251	1
91	251	3
92	251	3
93	251	3
94	251	2
95	251	3
96	251	2
97	251	3
98	251	10
99	251	6
100	251	18
101	251	1
102	251	13
103	251	5
104	251	7
105	251	3
106	251	2
107	251	2
108	251	3
109	251	3
110	251	0
111	251	3
112	251	3
113	251	2
114	251	2
115	251	2
116	251	4
117	251	3
118	251	3
119	251	1
120	251	2
121	251	3
122	251	2
123	251	1
124	251	3
125	251	2
126	251	0
127	251	7
128	251	7
129	251	2
130	251	0
131	251	1
132	251	1
133	251	1
134	251	1
135	251	0
136	251	2
137	251	2
138	251	2
139	251	1
140	251	2
141	251	0
142	251	0
143	251	1
144	251	0
145	251	2
146	251	0
147	251	2
148	251	2
149	251	3
150	251	1
151	251	1
152	251	1
153	251	12
154	251	1
155	251	1
156	251	0
157	251	1
158	251	1
159	251	8
160	251	0
161	251	1
162	251	2
163	251	20
164	251	21
165	251	1
166	251	8
167	251	2
168	251	1
169	251	1
170	251	9
171	251	1
172	251	1
173	251	2
174	251	2
175	251	1
176	251	1
177	251	2
178	251	0
179	251	1
180	251	1
181	251	2
182	251	1
183	251	6
184	251	4
185	251	1
186	251	1
187	251	1
188	251	0
189	251	1
190	251	9
191	251	3
192	251	4
193	251	2
194	251	1
195	251	2
196	251	1
197	251	4
198	251	6
199	251	1
200	251	0
201	251	1
202	251	1
203	251	1
204	251	15
205	251	1
206	251	2
207	251	0
208	251	2
209	251	1
210	251	3
211	251	1
212	251	8
213	251	1
214	251	1
215	251	0
216	251	1
217	251	1
218	251	3
219	251	1
220	251	3
221	251	4
222	251	2
223	251	1
224	251	3
225	251	2
226	251	6
227	251	14
228	251	0
229	251	0
230	251	10
231	251	1
232	251	3
233	251	0
234	251	6
235	251	2
236	251	1
237	251	3
238	251	11
239	251	4
240	251	3
241	251	0
242	251	5
243	251	2
244	251	5
245	251	1
246	251	5
247	251	4
248	251	3
249	251	2
250	251	6
251	251	5
252	251	13
253	251	29
254	251	29
255	251	1058
0	250	0.997938144329897
1	250	0.0247422680412371
2	250	0.0056701030927835
3	250	0.00360824742268041
4	250	0
5	250	1009
6	250	2
7	250	0
8	250	0
9	250	1
10	250	1
11	250	2
12	250	0
13	250	3
14	250	1
15	250	1
16	250	7
17	250	2
18	250	0
19	250	0
20	250	2
21	250	3
22	250	2
23	250	1
24	250	2
25	250	0
26	250	3
27	250	3
28	250	2
29	250	1
30	250	4
31	250	22
32	250	22
33	250	3
34	250	6
35	250	13
36	250	2
37	250	1
38	250	0
39	250	2
40	250	12
41	250	1
42	250	0
43	250	1
44	250	9
45	250	2
46	250	1
47	250	2
48	250	5
49	250	2
50	250	9
51	250	13
52	250	0
53	250	2
54	250	3
55	250	2
56	250	3
57	250	2
58	250	3
59	250	2
60	250	2
61	250	3
62	250	0
63	250	2
64	250	2
65	250	1
66	250	1
67	250	2
68	250	8
69	250	1
70	250	9
71	250	12
72	250	2
73	250	1
74	250	2
75	250	2
76	250	2
77	250	0
78	250	1
79	250	0
80	250	2
81	250	0
82	250	0
83	250	0
84	250	0
85	250	6
86	250	2
87	250	3
88	250	4
89	250	1
90	250	1
91	250	3
92	250	3
93	250	3
94	250	2
95	250	3
96	250	2
97	250	3
98	250	10
99	250	6
100	250	18
101	250	1
102	250	13
103	250	5
104	250	7
105	250	3
106	250	2
107	250	2
108	250	3
109	250	3
110	250	0
111	250	3
112	250	3
113	250	2
114	250	2
115	250	2
116	250	4
117	250	3
118	250	3
119	250	1
120	250	2
121	250	3
122	250	2
123	250	1
124	250	3
125	250	2
126	250	0
127	250	7
128	250	7
129	250	2
130	250	0
131	250	1
132	250	1
133	250	1
134	250	1
135	250	0
136	250	2
137	250	2
138	250	2
139	250	1
140	250	2
141	250	0
142	250	0
143	250	1
144	250	0
145	250	2
146	250	0
147	250	2
148	250	2
149	250	3
150	250	1
151	250	1
152	250	1
153	250	12
154	250	1
155	250	1
156	250	0
157	250	1
158	250	1
159	250	8
160	250	0
161	250	1
162	250	2
163	250	20
164	250	21
165	250	1
166	250	8
167	250	2
168	250	1
169	250	1
170	250	9
171	250	1
172	250	1
173	250	2
174	250	2
175	250	1
176	250	1
177	250	2
178	250	0
179	250	1
180	250	1
181	250	2
182	250	1
183	250	6
184	250	4
185	250	1
186	250	1
187	250	1
188	250	0
189	250	1
190	250	9
191	250	3
192	250	4
193	250	2
194	250	1
195	250	2
196	250	1
197	250	4
198	250	6
199	250	1
200	250	0
201	250	1
202	250	1
203	250	1
204	250	15
205	250	1
206	250	2
207	250	0
208	250	2
209	250	1
210	250	3
211	250	1
212	250	8
213	250	1
214	250	1
215	250	0
216	250	1
217	250	1
218	250	3
219	250	1
220	250	3
221	250	4
222	250	2
223	250	1
224	250	3
225	250	2
226	250	6
227	250	14
228	250	0
229	250	0
230	250	10
231	250	1
232	250	3
233	250	0
234	250	6
235	250	2
236	250	1
237	250	3
238	250	11
239	250	4
240	250	3
241	250	0
242	250	5
243	250	2
244	250	5
245	250	1
246	250	5
247	250	4
248	250	3
249	250	2
250	250	6
251	250	5
252	250	13
253	250	29
254	250	29
255	250	1058
0	249	0.998969072164948
1	249	0.0257731958762887
2	249	0.00670103092783505
3	249	0.00463917525773196
4	249	0.00103092783505155
5	249	0.00103092783505155
6	249	1009
7	249	2
8	249	2
9	249	1
10	249	3
11	249	0
12	249	2
13	249	1
14	249	1
15	249	1
16	249	9
17	249	4
18	249	2
19	249	2
20	249	0
21	249	1
22	249	0
23	249	1
24	249	0
25	249	2
26	249	1
27	249	1
28	249	0
29	249	1
30	249	6
31	249	24
32	249	24
33	249	5
34	249	8
35	249	15
36	249	4
37	249	3
38	249	2
39	249	4
40	249	14
41	249	3
42	249	2
43	249	1
44	249	11
45	249	4
46	249	1
47	249	4
48	249	7
49	249	0
50	249	11
51	249	15
52	249	2
53	249	0
54	249	1
55	249	0
56	249	1
57	249	0
58	249	1
59	249	0
60	249	0
61	249	5
62	249	2
63	249	0
64	249	0
65	249	1
66	249	3
67	249	0
68	249	10
69	249	3
70	249	11
71	249	14
72	249	0
73	249	1
74	249	0
75	249	0
76	249	0
77	249	2
78	249	1
79	249	2
80	249	0
81	249	2
82	249	2
83	249	2
84	249	2
85	249	8
86	249	0
87	249	1
88	249	6
89	249	3
90	249	1
91	249	1
92	249	1
93	249	5
94	249	4
95	249	1
96	249	0
97	249	1
98	249	12
99	249	8
100	249	20
101	249	1
102	249	15
103	249	7
104	249	9
105	249	1
106	249	0
107	249	0
108	249	1
109	249	1
110	249	2
111	249	1
112	249	1
113	249	0
114	249	0
115	249	0
116	249	2
117	249	1
118	249	1
119	249	1
120	249	0
121	249	1
122	249	4
123	249	1
124	249	1
125	249	0
126	249	2
127	249	9
128	249	9
129	249	0
130	249	2
131	249	1
132	249	1
133	249	3
134	249	1
135	249	2
136	249	0
137	249	0
138	249	0
139	249	1
140	249	4
141	249	2
142	249	2
143	249	1
144	249	2
145	249	0
146	249	2
147	249	0
148	249	0
149	249	1
150	249	1
151	249	1
152	249	1
153	249	14
154	249	3
155	249	1
156	249	2
157	249	1
158	249	3
159	249	10
160	249	2
161	249	3
162	249	4
163	249	22
164	249	23
165	249	1
166	249	10
167	249	0
168	249	1
169	249	1
170	249	11
171	249	1
172	249	1
173	249	0
174	249	4
175	249	1
176	249	3
177	249	0
178	249	2
179	249	1
180	249	3
181	249	0
182	249	3
183	249	8
184	249	6
185	249	1
186	249	3
187	249	1
188	249	2
189	249	1
190	249	11
191	249	5
192	249	6
193	249	0
194	249	3
195	249	0
196	249	1
197	249	6
198	249	8
199	249	1
200	249	2
201	249	1
202	249	3
203	249	1
204	249	17
205	249	3
206	249	4
207	249	2
208	249	0
209	249	1
210	249	5
211	249	3
212	249	10
213	249	1
214	249	3
215	249	2
216	249	1
217	249	1
218	249	5
219	249	3
220	249	5
221	249	6
222	249	4
223	249	1
224	249	5
225	249	4
226	249	8
227	249	16
228	249	2
229	249	2
230	249	12
231	249	3
232	249	5
233	249	2
234	249	8
235	249	4
236	249	3
237	249	5
238	249	13
239	249	6
240	249	5
241	249	2
242	249	7
243	249	4
244	249	7
245	249	3
246	249	7
247	249	6
248	249	5
249	249	4
250	249	8
251	249	7
252	249	15
253	249	31
254	249	31
255	249	1060
0	248	0.997938144329897
1	248	0.0247422680412371
2	248	0.0056701030927835
3	248	0.00360824742268041
4	248	0
5	248	0
6	248	0.00103092783505155
7	248	1009
8	248	0
9	248	1
10	248	1
11	248	2
12	248	0
13	248	3
14	248	1
15	248	1
16	248	7
17	248	2
18	248	0
19	248	0
20	248	2
21	248	3
22	248	2
23	248	1
24	248	2
25	248	0
26	248	3
27	248	3
28	248	2
29	248	1
30	248	4
31	248	22
32	248	22
33	248	3
34	248	6
35	248	13
36	248	2
37	248	1
38	248	0
39	248	2
40	248	12
41	248	1
42	248	0
43	248	1
44	248	9
45	248	2
46	248	1
47	248	2
48	248	5
49	248	2
50	248	9
51	248	13
52	248	0
53	248	2
54	248	3
55	248	2
56	248	3
57	248	2
58	248	3
59	248	2
60	248	2
61	248	3
62	248	0
63	248	2
64	248	2
65	248	1
66	248	1
67	248	2
68	248	8
69	248	1
70	248	9
71	248	12
72	248	2
73	248	1
74	248	2
75	248	2
76	248	2
77	248	0
78	248	1
79	248	0
80	248	2
81	248	0
82	248	0
83	248	0
84	248	0
85	248	6
86	248	2
87	248	3
88	248	4
89	248	1
90	248	1
91	248	3
92	248	3
93	248	3
94	248	2
95	248	3
96	248	2
97	248	3
98	248	10
99	248	6
100	248	18
101	248	1
102	248	13
103	248	5
104	248	7
105	248	3
106	248	2
107	248	2
108	248	3
109	248	3
110	248	0
111	248	3
112	248	3
113	248	2
114	248	2
115	248	2
116	248	4
117	248	3
118	248	3
119	248	1
120	248	2
121	248	3
122	248	2
123	248	1
124	248	3
125	248	2
126	248	0
127	248	7
128	248	7
129	248	2
130	248	0
131	248	1
132	248	1
133	248	1
134	248	1
135	248	0
136	248	2
137	248	2
138	248	2
139	248	1
140	248	2
141	248	0
142	248	0
143	248	1
144	248	0
145	248	2
146	248	0
147	248	2
148	248	2
149	248	3
150	248	1
151	248	1
152	248	1
153	248	12
154	248	1
155	248	1
156	248	0
157	248	1
158	248	1
159	248	8
160	248	0
161	248	1
162	248	2
163	248	20
164	248	21
165	248	1
166	248	8
167	248	2
168	248	1
169	248	1
170	248	9
171	248	1
172	248	1
173	248	2
174	248	2
175	248	1
176	248	1
177	248	2
178	248	0
179	248	1
180	248	1
181	248	2
182	248	1
183	248	6
184	248	4
185	248	1
186	248	1
187	248	1
188	248	0
189	248	1
190	248	9
191	248	3
192	248	4
193	248	2
194	248	1
195	248	2
196	248	1
197	248	4
198	248	6
199	248	1
200	248	0
201	248	1
202	248	1
203	248	1
204	248	15
205	248	1
206	248	2
207	248	0
208	248	2
209	248	1
210	248	3
211	248	1
212	248	8
213	248	1
214	248	1
215	248	0
216	248	1
217	248	1
218	248	3
219	248	1
220	248	3
221	248	4
222	248	2
223	248	1
224	248	3
225	248	2
226	248	6
227	248	14
228	248	0
229	248	0
230	248	10
231	248	1
232	248	3
233	248	0
234	248	6
235	248	2
236	248	1
237	248	3
238	248	11
239	248	4
240	248	3
241	248	0
242	248	5
243	248	2
244	248	5
245	248	1
246	248	5
247	248	4
248	248	3
249	248	2
250	248	6
251	248	5
252	248	13
253	248	29
254	248	29
255	248	1058
0	247	0.997938144329897
1	247	0.0247422680412371
2	247	0.0056701030927835
3	247	0.00360824742268041
4	247	0
5	247	0
6	247	0.00103092783505155
7	247	0
8	247	1009
9	247	1
10	247	1
11	247	2
12	247	0
13	247	3
14	247	1
15	247	1
16	247	7
17	247	2
18	247	0
19	247	0
20	247	2
21	247	3
22	247	2
23	247	1
24	247	2
25	247	0
26	247	3
27	247	3
28	247	2
29	247	1
30	247	4
31	247	22
32	247	22
33	247	3
34	247	6
35	247	13
36	247	2
37	247	1
38	247	0
39	247	2
40	247	12
41	247	1
42	247	0
43	247	1
44	247	9
45	247	2
46	247	1
47	247	2
48	247	5
49	247	2
50	247	9
51	247	13
52	247	0
53	247	2
54	247	3
55	247	2
56	247	3
57	247	2
58	247	3
59	247	2
60	247	2
61	247	3
62	247	0
63	247	2
64	247	2
65	247	1
66	247	1
67	247	2
68	247	8
69	247	1
70	247	9
71	247	12
72	247	2
73	247	1
74	247	2
75	247	2
76	247	2
77	247	0
78	247	1
79	247	0
80	247	2
81	247	0
82	247	0
83	247	0
84	247	0
85	247	6
86	247	2
87	247	3
88	247	4
89	247	1
90	247	1
91	247	3
92	247	3
93	247	3
94	247	2
95	247	3
96	247	2
97	247	3
98	247	10
99	247	6
100	247	18
101	247	1
102	247	13
103	247	5
104	247	7
105	247	3
106	247	2
107	247	2
108	247	3
109	247	3
110	247	0
111	247	3
112	247	3
113	247	2
114	247	2
115	247	2
116	247	4
117	247	3
118	247	3
119	247	1
120	247	2
121	247	3
122	247	2
123	247	1
124	247	3
125	247	2
126	247	0
127	247	7
128	247	7
129	247	2
130	247	0
131	247	1
132	247	1
133	247	1
134	247	1
135	247	0
136	247	2
137	247	2
138	247	2
139	247	1
140	247	2
141	247	0
142	247	0
143	247	1
144	247	0
145	247	2
146	247	0
147	247	2
148	247	2
149	247	3
150	247	1
151	247	1
152	247	1
153	247	12
154	247	1
155	247	1
156	247	0
157	247	1
158	247	1
159	247	8
160	247	0
161	247	1
162	247	2
163	247	20
164	247	21
165	247	1
166	247	8
167	247	2
168	247	1
169	247	1
170	247	9
171	247	1
172	247	1
173	247	2
174	247	2
175	247	1
176	247	1
177	247	2
178	247	0
179	247	1
180	247	1
181	247	2
182	247	1
183	247	6
184	247	4
185	247	1
186	247	1
187	247	1
188	247	0
189	247	1
190	247	9
191	247	3
192	247	4
193	247	2
194	247	1
195	247	2
196	247	1
197	247	4
198	247	6
199	247	1
200	247	0
201	247	1
202	247	1
203	247	1
